material_id,formula_pretty,formation_energy_per_atom,num_atoms,Gibbs_energy_300K,Gibbs_energy_400K,Gibbs_energy_500K,Gibbs_energy_600K,Gibbs_energy_700K,Gibbs_energy_800K,Gibbs_energy_801K,Gibbs_energy_802K,Gibbs_energy_803K,Gibbs_energy_804K,Gibbs_energy_805K,Gibbs_energy_806K,Gibbs_energy_807K,Gibbs_energy_808K,Gibbs_energy_809K,Gibbs_energy_810K,Gibbs_energy_811K,Gibbs_energy_812K,Gibbs_energy_813K,Gibbs_energy_814K,Gibbs_energy_815K,Gibbs_energy_816K,Gibbs_energy_817K,Gibbs_energy_818K,Gibbs_energy_819K,Gibbs_energy_820K,Gibbs_energy_821K,Gibbs_energy_822K,Gibbs_energy_823K,Gibbs_energy_824K,Gibbs_energy_825K,Gibbs_energy_826K,Gibbs_energy_827K,Gibbs_energy_828K,Gibbs_energy_829K,Gibbs_energy_830K,Gibbs_energy_831K,Gibbs_energy_832K,Gibbs_energy_833K,Gibbs_energy_834K,Gibbs_energy_835K,Gibbs_energy_836K,Gibbs_energy_837K,Gibbs_energy_838K,Gibbs_energy_839K,Gibbs_energy_840K,Gibbs_energy_841K,Gibbs_energy_842K,Gibbs_energy_843K,Gibbs_energy_844K,Gibbs_energy_845K,Gibbs_energy_846K,Gibbs_energy_847K,Gibbs_energy_848K,Gibbs_energy_849K,Gibbs_energy_850K,Gibbs_energy_851K,Gibbs_energy_852K,Gibbs_energy_853K,Gibbs_energy_854K,Gibbs_energy_855K,Gibbs_energy_856K,Gibbs_energy_857K,Gibbs_energy_858K,Gibbs_energy_859K,Gibbs_energy_860K,Gibbs_energy_861K,Gibbs_energy_862K,Gibbs_energy_863K,Gibbs_energy_864K,Gibbs_energy_865K,Gibbs_energy_866K,Gibbs_energy_867K,Gibbs_energy_868K,Gibbs_energy_869K,Gibbs_energy_870K,Gibbs_energy_871K,Gibbs_energy_872K,Gibbs_energy_873K,Gibbs_energy_874K,Gibbs_energy_875K,Gibbs_energy_876K,Gibbs_energy_877K,Gibbs_energy_878K,Gibbs_energy_879K,Gibbs_energy_880K,Gibbs_energy_881K,Gibbs_energy_882K,Gibbs_energy_883K,Gibbs_energy_884K,Gibbs_energy_885K,Gibbs_energy_886K,Gibbs_energy_887K,Gibbs_energy_888K,Gibbs_energy_889K,Gibbs_energy_890K,Gibbs_energy_891K,Gibbs_energy_892K,Gibbs_energy_893K,Gibbs_energy_894K,Gibbs_energy_895K,Gibbs_energy_896K,Gibbs_energy_897K,Gibbs_energy_898K,Gibbs_energy_899K,Gibbs_energy_900K,Gibbs_energy_1000K,Gibbs_energy_1100K,Gibbs_energy_1200K,Gibbs_energy_1300K,Gibbs_energy_1400K,Gibbs_energy_1500K,Gibbs_energy_1600K,Gibbs_energy_1700K,Gibbs_energy_1800K,Gibbs_energy_1900K,Gibbs_energy_2000K
mp-1102536,AlCuBr4,-1.213548159999999,12.0,-1.1485268425938118,-1.099761895005888,-1.0469336580365183,-0.997082462772141,-0.9486014646569708,-0.9006104300790875,-0.9001172624355087,-0.8996243768989426,-0.8991317727663181,-0.8986394493371886,-0.8981474059137214,-0.8976556418006818,-0.8971641563054203,-0.8966729487378627,-0.8961820184104939,-0.895691364638347,-0.8952009867389906,-0.8947108840325168,-0.8942210558415264,-0.8937315014911201,-0.8932422203088833,-0.8927532116248762,-0.8922644747716189,-0.891776009084082,-0.8912878138996736,-0.8907998885582269,-0.8903122324019893,-0.8898248447756103,-0.8893377250261287,-0.8888508725029638,-0.8883642865579008,-0.8878779665450808,-0.8873919118209899,-0.8869061217444454,-0.886420595676589,-0.8859353329808708,-0.8854503330230408,-0.884965595171138,-0.884481118795478,-0.8839969032686436,-0.8835129479654716,-0.8830292522630452,-0.8825458155406808,-0.8820626371799186,-0.8815797165645115,-0.8810970530804133,-0.8806146461157717,-0.8801324950609141,-0.8796505993083392,-0.8791689582527064,-0.8786875712908261,-0.878206437821648,-0.8777255572462525,-0.8772449289678397,-0.8767645523917199,-0.8762844269253042,-0.8758045519780927,-0.8753249269616674,-0.8748455512896793,-0.8743664243778423,-0.8738875456439192,-0.8734089145077176,-0.8729305303910743,-0.8724523927178511,-0.871974500913922,-0.871496854407165,-0.8710194526274527,-0.8705422950066435,-0.8700653809785709,-0.8695887099790375,-0.8691122814458013,-0.8686360948185703,-0.8681601495389928,-0.8676844450506475,-0.8672089807990346,-0.8667337562315686,-0.8662587707975673,-0.8657840239482448,-0.8653095151367021,-0.864835243817918,-0.8643612094487415,-0.8638874114878824,-0.8634138493959042,-0.8629405226352129,-0.8624674306700518,-0.861994572966491,-0.8615219489924199,-0.8610495582175393,-0.8605774001133515,-0.8601054741531547,-0.8596337798120325,-0.8591623165668478,-0.8586910838962335,-0.8582200812805844,-0.8577493082020503,-0.8572787641445275,-0.8568084485936502,-0.8563383610367851,-0.8558685009630201,-0.8553988678631602,-0.8549294612297174,-0.8544602805569035,-0.8539913253406236,-0.8535225950784674,-0.8530540892697024,-0.8525858074152651,-0.8028869440412771,-0.7519896239592345,-0.700440684538571,-0.6481617457329157,-0.5943928649171027,-0.5388398969543875,-0.4824670068982512,-0.4252763886590394,-0.36727407026816294,-0.30847007896540407,-0.24887591229188644
mp-28020,AlCuCl4,-1.5768964483333332,12.0,-1.4225163523470392,-1.3659043067601122,-1.315675846089989,-1.2684962863084965,-1.2227307992354521,-1.177484641231469,-1.177019136549273,-1.1765539139740897,-1.176088972802847,-1.1756243123351002,-1.1751599318730157,-1.1746958307213586,-1.1742320081874797,-1.1737684635813046,-1.1733051962153183,-1.1728422054045538,-1.1723794904665803,-1.1719170507214887,-1.1714548854918811,-1.1709929941028572,-1.1705313758820033,-1.1700700301593783,-1.1696089562675036,-1.1691481535413495,-1.1686876213183233,-1.1682273589382597,-1.1677673657434042,-1.1673076410784076,-1.1668481842903087,-1.1663889947285262,-1.165930071744846,-1.1654714146934084,-1.1650130229306999,-1.1645548958155383,-1.1640970327090645,-1.1636394329747286,-1.163182095978281,-1.1627250210877609,-1.1622682076734834,-1.1618116551080315,-1.1613553627662423,-1.1608993300251984,-1.1604435562642166,-1.159988040864837,-1.1595327832108122,-1.1590777826880967,-1.1586230386848373,-1.1581685505913624,-1.15771431780017,-1.15726033970592,-1.1568066157054222,-1.1563531451976268,-1.1558999275836137,-1.1554469622665833,-1.1549942486518463,-1.1545417861468126,-1.1540895741609838,-1.153637612105941,-1.153185899395336,-1.152734435444881,-1.1522832196723412,-1.1518322514975219,-1.151381530342261,-1.1509310556304204,-1.1504808267878737,-1.150030843242499,-1.1495811044241695,-1.1491316097647426,-1.1486823586980528,-1.1482333506599018,-1.1477845850880481,-1.1473360614222,-1.1468877791040046,-1.1464397375770419,-1.1459919362868118,-1.1455443746807283,-1.1450970522081096,-1.1446499683201694,-1.144203122470009,-1.1437565141126078,-1.143310142704814,-1.1428640077053374,-1.1424181085747416,-1.141972444775433,-1.1415270157716542,-1.1410818210294764,-1.1406368600167875,-1.1401921322032893,-1.139747637060484,-1.1393033740616698,-1.1388593426819305,-1.1384155423981284,-1.1379719726888964,-1.13752863303463,-1.137085522917478,-1.1366426418213378,-1.1361999892318435,-1.1357575646363607,-1.1353153675239784,-1.134873397385501,-1.1344316537134405,-1.1339901360020095,-1.1335488437471122,-1.1331077764463386,-1.1326669335989556,-1.1322263147059008,-1.0853089484513219,-1.037205217178242,-0.9884602308718743,-0.9389935366247807,-0.8880445008581063,-0.8353193239119513,-0.7817807889324188,-0.7274310898298548,-0.6722769455893589,-0.6163276924970248,-0.5595962100013528
mp-1394351,Al(CuO2)3,-0.843183305,10.0,-0.6806280193129911,-0.6214475957573289,-0.5689257912343093,-0.5196647685485999,-0.4719730067698489,-0.4249119212471145,-0.4244290788148389,-0.4239465184895753,-0.42346423956825274,-0.42298224135042606,-0.4225005231382613,-0.42201908423652396,-0.4215379239525657,-0.4210570415963103,-0.4205764364802443,-0.42009610791939994,-0.4196160552313458,-0.41913627773617446,-0.4186567747564869,-0.41817754561738313,-0.417698589646449,-0.4172199061737444,-0.4167414945317896,-0.41626335405555537,-0.41578548408244914,-0.4153078839523053,-0.4148305530073702,-0.41435349059229354,-0.41387669605411476,-0.4134001687422522,-0.4129239080084918,-0.4124479132069746,-0.4119721836941859,-0.4114967188289443,-0.4110215179723905,-0.41054658048797477,-0.4100719057414475,-0.40959749310084703,-0.40912334193648964,-0.40864945162095756,-0.4081758215290884,-0.4077024510379646,-0.4072293395269028,-0.4067564863774432,-0.4062838909733383,-0.4058115527005429,-0.4053394709472039,-0.40486764510364887,-0.40439607456237636,-0.4039247587180464,-0.4034536969674683,-0.40298288870959303,-0.40251233334549974,-0.4020420302783898,-0.4015719789135727,-0.40110217865845926,-0.40063262892255047,-0.4001633291174276,-0.39969427865674234,-0.39922547695620736,-0.3987569234335876,-0.39828861750868805,-0.3978205586033474,-0.3973527461414272,-0.39688517954880026,-0.3964178582533459,-0.395950781684936,-0.3954839492754293,-0.39501736045865943,-0.3945510146704284,-0.39408491134849494,-0.3936190499325665,-0.3931534298642914,-0.3926880505872484,-0.39222291154693834,-0.391758012190775,-0.3912933519680763,-0.39082893033005633,-0.39036474672981586,-0.38990080062233456,-0.38943709146446065,-0.3889736187149041,-0.38851038183422854,-0.3880473802848396,-0.38758461353098106,-0.3871220810387232,-0.38665978227595454,-0.38619771671237635,-0.38573588381949103,-0.38527428307059675,-0.38481291394077727,-0.3843517759068953,-0.3838908684475834,-0.38343019104323695,-0.3829697431760053,-0.38250952432978486,-0.3820495339902107,-0.3815897716446475,-0.38113023678218544,-0.3806709288936282,-0.38021184747148756,-0.3797529920099766,-0.3792943620049994,-0.37883595695414557,-0.3783777763566826,-0.37791981971354804,-0.3298556781573154,-0.2809034908377338,-0.2313207237193568,-0.18100736990535218,-0.12862097826318736,-0.07364422561462511,-0.017814903310844697,0.0388658311683411,0.09639122429014932,0.15475225069764525,0.21393585820390654
mp-1345658,Al(CuS2)3,-0.386029298375,20.0,-0.3842067671649436,-0.3772149042342794,-0.37141023990821187,-0.36605959989237785,-0.3603262075171913,-0.3537475106756296,-0.3535921049715397,-0.3534369813744622,-0.35328213918132584,-0.3531275776916852,-0.35297329620770646,-0.3528192940341552,-0.35266557047838265,-0.3525121248503136,-0.3523589564624333,-0.35220606462977505,-0.3520534486699072,-0.3519011079029219,-0.35174904165142024,-0.3515972492405025,-0.3514457299977545,-0.35129448325323576,-0.35114350833946695,-0.3509928045914189,-0.3508423713464987,-0.35069220794454087,-0.3505423137277919,-0.3503926880409013,-0.35024333023090837,-0.3500942396472321,-0.34994541564165765,-0.34979685756832646,-0.34964856478372364,-0.3495005366466682,-0.3493527725183003,-0.3492052717620707,-0.34905803374372935,-0.34891105783131493,-0.34876434339514384,-0.34861788980779773,-0.34847169644411446,-0.34832576268117654,-0.3481800878983009,-0.34803467147702755,-0.34788951280110864,-0.34774461125649914,-0.3475999662313461,-0.34745557711597713,-0.34731144330289077,-0.34716756418674655,-0.34702393916435487,-0.34688056763466546,-0.34673744899875825,-0.34659458265983406,-0.34645196802320316,-0.3463096044962758,-0.346167491488553,-0.3460256284116162,-0.3458840146791168,-0.34574264970676793,-0.3456015329123341,-0.3454606637156209,-0.34532004153846624,-0.3451796658047318,-0.34503953594029113,-0.3448996513730226,-0.344760011532799,-0.3446206158514782,-0.3444814637628945,-0.34434255470284947,-0.34420388810910174,-0.34406546342135946,-0.34392728008127077,-0.3437893375324137,-0.34365163522028946,-0.34351417259231204,-0.3433769490977994,-0.34323996418796554,-0.3431032173159113,-0.3429667079366158,-0.34283043550692777,-0.34269439948555747,-0.3425585993330678,-0.3424230345118652,-0.3422877044861927,-0.3421526087221206,-0.3420177466875381,-0.34188311785214587,-0.34174872168744663,-0.3416145576667384,-0.341480625265105,-0.341346923959409,-0.3412134532282833,-0.3410802125521227,-0.3409472014130772,-0.34081441929504275,-0.34068186568365455,-0.3405495400662775,-0.34041744193200146,-0.34028557077163013,-0.3401539260776757,-0.34002250734435063,-0.33989131406755924,-0.3397603457448917,-0.339629601875615,-0.33949908196066614,-0.292766372978439,-0.24507068430530943,-0.19668067535559014,-0.14750286874480806,-0.09619854449035029,-0.04225317777641955,0.012592330754205072,0.06833464711759145,0.12496515220599616,0.1824720223000451,0.24084096149617623
mp-1346055,Al(CuSe2)3,-0.38165502490625,20.0,-0.3756239684863073,-0.36757107860887805,-0.3639757402406421,-0.3547091217311705,-0.34510079351146283,-0.3345943028681845,-0.33446403131085756,-0.33433404186054283,-0.3342043338141692,-0.33407490647129157,-0.33394575913407554,-0.33381689110728735,-0.33368830169827746,-0.33355999021697136,-0.3334319559758539,-0.33330419828995855,-0.3331767164768536,-0.33304950985663095,-0.3329225777518922,-0.33279591948773735,-0.3326695343917523,-0.33254342179399626,-0.3324175810269905,-0.3322920114257052,-0.3321667123275479,-0.3320416830723528,-0.3319169230023665,-0.3317924314622389,-0.3316682077990089,-0.3315442513620955,-0.3314205615032838,-0.33129713757671553,-0.33117397893887557,-0.3310510849485831,-0.33092845496697787,-0.3308060883575109,-0.3306839844859327,-0.3305621427202812,-0.33044056243087294,-0.33031924299028936,-0.3301981837733693,-0.3300773841571941,-0.3299568435210814,-0.3298365612465707,-0.3297165367174147,-0.32959676931956833,-0.32947725844117787,-0.32935800347257177,-0.3292390038062484,-0.329120258836867,-0.32900176796123803,-0.3288835305783116,-0.32876554608916725,-0.3286478138970058,-0.32853033340713794,-0.3284131040269732,-0.3282961251660135,-0.3281793962358394,-0.3280629166501029,-0.3279466858245169,-0.327830703176846,-0.3277149681268955,-0.32759948009650364,-0.3274842385095321,-0.3273692427918542,-0.3272544923713485,-0.32713998667788785,-0.32702572514333,-0.32691170720150897,-0.3267979322882269,-0.326684399841242,-0.3265711093002627,-0.32645806010693657,-0.3263452517048425,-0.32623268353948126,-0.3261203550582666,-0.32600826571051683,-0.3258964149474458,-0.32578480222215445,-0.3256734269896219,-0.3255622887066966,-0.3254513868320892,-0.32534072082636223,-0.32523029015192256,-0.325120094273013,-0.3250101326557037,-0.32490040476788395,-0.3247909100792546,-0.3246816480613184,-0.3245726181873728,-0.32446381993250223,-0.3243552527735691,-0.3242469161892064,-0.32413880965980857,-0.3240309326675259,-0.3239232846962542,-0.3238158652316291,-0.32370867376101486,-0.32360170977350133,-0.32349497275989314,-0.32338846221270146,-0.3232821776261393,-0.323176118496111,-0.3230702843202062,-0.3229646745976922,-0.32285928882950643,-0.3088822083391832,-0.2656370230089712,-0.21418795633049986,-0.16191129305848923,-0.10747390993520582,-0.05036625701141269,0.007665168345232942,0.06661050263843862,0.12645490817726177,0.18718158637576893,0.24877188832215752
mp-4979,AlCuS2,-1.0604500028125,8.0,-1.0554577645372083,-1.0474777888215194,-1.04131298497052,-1.0358255562096677,-1.0300626456496538,-1.023497183382761,-1.023352827783655,-1.0232087542915616,-1.023064962203409,-1.0229214508187523,-1.0227782194397572,-1.0226352673711898,-1.0224925939204013,-1.0223501983973162,-1.0222080801144195,-1.0220662383867452,-1.0219246725318614,-1.0217833818698598,-1.0216423657233422,-1.0215016234174084,-1.021361154279644,-1.0212209576401092,-1.0210810328313242,-1.0209413791882602,-1.020801996048324,-1.0206628827513495,-1.0205240386395846,-1.020385463057678,-1.020247155352669,-1.0201091148739763,-1.019971340973386,-1.0198338330050385,-1.0196965903254198,-1.0195596122933483,-1.019422898269964,-1.0192864476187182,-1.019150259705361,-1.0190143338979305,-1.0188786695667433,-1.018743266084381,-1.0186081228256816,-1.0184732391677276,-1.0183386144898359,-1.018204248173546,-1.0180701396026113,-1.0179362881629856,-1.0178026932428166,-1.017669354232431,-1.017536270524329,-1.0174034415131685,-1.0172708665957606,-1.017138545171055,-1.0170064766401319,-1.0168746604061916,-1.0167430958745445,-1.0166117824526009,-1.0164807195498624,-1.0163499065779091,-1.0162193429503938,-1.0160890280830286,-1.0159589613935787,-1.0158291423018495,-1.0156995702296785,-1.0155702446009283,-1.0154411648414712,-1.0153123303791864,-1.0151837406439468,-1.01505539506761,-1.01492729308401,-1.014799434128949,-1.014671817640185,-1.0145444430574269,-1.0144173098223215,-1.0142904173784488,-1.0141637651713085,-1.0140373526483146,-1.0139111792587858,-1.013785244453936,-1.0136595476868657,-1.013534088412554,-1.01340886608785,-1.0132838801714636,-1.0131591301239578,-1.0130346154077388,-1.0129103354870503,-1.0127862898279623,-1.0126624778983633,-1.0125388991679551,-1.0124155531082397,-1.0122924391925157,-1.012169556895866,-1.0120469056951538,-1.0119244850690121,-1.0118022944978353,-1.0116803334637736,-1.0115586014507227,-1.0114370979443188,-1.0113158224319254,-1.0111947744026333,-1.0110739533472461,-1.0109533587582753,-1.0108329901299342,-1.0107128469581268,-1.0105929287404432,-1.01047323497615,-1.0103537651661851,-0.9685812255153246,-0.9250959005042871,-0.8807832811792444,-0.8355666285088357,-0.7883345635479146,-0.738663819189137,-0.6880114695737523,-0.636386963625839,-0.5838038434981738,-0.5302789595982162,-0.47583054626555565
mp-8017,AlCuTe2,-0.5504997270833331,8.0,-0.5504177774618849,-0.5443378179862546,-0.5431895769887765,-0.543917342993142,-0.545030869878555,-0.5357818098184512,-0.5356329014978779,-0.5354842752843167,-0.535335930474697,-0.5351878663685727,-0.5350400822681105,-0.5348925774780757,-0.5347453513058198,-0.5345984030612672,-0.5344517320569033,-0.5343053376077617,-0.5341592190314103,-0.5340133756479415,-0.5338678067799564,-0.5337225117525551,-0.5335774898933237,-0.5334327405323214,-0.5332882630020691,-0.5331440566375374,-0.5330001207761339,-0.5328564547576925,-0.5327130579244599,-0.532569929621086,-0.5324270691946096,-0.5322844759944496,-0.5321421493723918,-0.532000088682577,-0.5318582932814908,-0.5317167625279517,-0.5315754957831004,-0.5314344924103873,-0.5312937517755625,-0.5311532732466647,-0.5310130561940098,-0.5308730999901803,-0.5307334040100136,-0.5305939676305923,-0.5304547902312331,-0.5303158711934761,-0.5301772099010738,-0.5300388057399807,-0.5299006580983443,-0.5297627663664917,-0.5296251299369219,-0.5294877482042942,-0.5293506205654189,-0.5292137464192461,-0.5290771251668553,-0.5289407562114478,-0.5288046389583334,-0.5286687728149224,-0.5285331571907163,-0.5283977914972957,-0.528262675148313,-0.5281278075594807,-0.5279931881485631,-0.5278588163353666,-0.5277246915417284,-0.5275908131915104,-0.5274571807105861,-0.5273237935268341,-0.5271906510701272,-0.5270577527723228,-0.5269250980672556,-0.526792686390727,-0.5266605171804959,-0.5265285898762702,-0.5263969039196976,-0.5262654587543574,-0.5261342538257496,-0.5260032885812886,-0.5258725624702927,-0.5257420749439752,-0.5256118254554376,-0.5254818134596585,-0.5253520384134871,-0.5252224997756332,-0.52509319700666,-0.5249641295689739,-0.5248352969268179,-0.5247066985462624,-0.524578333895196,-0.5244502024433205,-0.5243223036621378,-0.5241946370249462,-0.5240672020068292,-0.5239399980846496,-0.5238130247370405,-0.5236862814443963,-0.5235597676888674,-0.5234334829543492,-0.5233074267264777,-0.5231815984926171,-0.5230559977418574,-0.5229306239650029,-0.5228054766545649,-0.5226805553047562,-0.5225558594114816,-0.5224313884723304,-0.5223071419865701,-0.5221831194551378,-0.505127096018425,-0.48560791151546656,-0.46460640860149327,-0.4421119206916382,-0.3880140016282352,-0.33878268378054277,-0.2884728544213844,-0.23710354945727197,-0.1846955660547147,-0.13127197320437167,-0.0768554100755976
mp-8016,AlCuSe2,-0.8615172974218741,8.0,-0.8578647141836716,-0.8506161358052327,-0.8479080233786461,-0.8407728656659829,-0.833396428361755,-0.8251733910529853,-0.8250661364407772,-0.8249591639355816,-0.8248524728343269,-0.8247460624365681,-0.8246399320444713,-0.8245340809628019,-0.8244285084989109,-0.8243232139627238,-0.8242181966667254,-0.8241134559259488,-0.8240089910579628,-0.8239048013828592,-0.8238008862232393,-0.8236972449042035,-0.8235938767533373,-0.8234907811007002,-0.8233879572788134,-0.8232854046226472,-0.8231831224696086,-0.8230811101595324,-0.8229793670346653,-0.8228778924396564,-0.8227766857215453,-0.8226757462297509,-0.8225750733160584,-0.8224746663346088,-0.8223745246418879,-0.8222746475967142,-0.8221750345602281,-0.82207568489588,-0.8219765979694206,-0.8218777731488883,-0.8217792098045987,-0.8216809073091342,-0.8215828650373329,-0.8214850823662769,-0.821387558675283,-0.8212902933458914,-0.8211932857618542,-0.8210965353091266,-0.8210000413758554,-0.8209038033523681,-0.8208078206311636,-0.8207120926069011,-0.8206166186763911,-0.8205213982385835,-0.8204264306945583,-0.8203317154475158,-0.8202372519027668,-0.8201430394677212,-0.8200490775518803,-0.8199553655668252,-0.8198619029262076,-0.8197686890457404,-0.8196757233431883,-0.8195830052383569,-0.819490534153084,-0.8193983095112314,-0.8193063307386725,-0.8192145972632856,-0.819123108514944,-0.8190318639255052,-0.8189408629288031,-0.8188501049606397,-0.8187595894587739,-0.8186693158629136,-0.8185792836147063,-0.8184894921577313,-0.8183999409374889,-0.8183106294013933,-0.8182215569987623,-0.8181327231808102,-0.8180441274006378,-0.817955769113224,-0.8178676477754181,-0.8177797628459295,-0.8176921137853214,-0.8176047000560005,-0.81751752112221,-0.8174305764500196,-0.8173438655073189,-0.8172573877638083,-0.8171711426909911,-0.8170851297621646,-0.816999348452413,-0.8169137982385988,-0.8168284785993548,-0.816743389015076,-0.8166585289679124,-0.8165738979417595,-0.816489495422253,-0.8164053208967579,-0.8163213738543635,-0.8162376537858742,-0.8161541601838016,-0.8160708925423583,-0.8159878503574489,-0.8159050331266627,-0.8158224403492681,-0.815740071526201,-0.8028794754114809,-0.7647184896457613,-0.7194722420063124,-0.673288795244434,-0.6250614343523784,-0.5743710379449358,-0.522679344100754,-0.47000124300421153,-0.416355458960751,-0.361762988099966,-0.3062456922683108
mp-1215314,ZrAlCu2,-0.207787367499999,4.0,-0.20286917790087738,-0.1952320692509512,-0.19258964223407168,-0.19184550547550064,-0.19151226303840824,-0.19078559984743482,-0.19075673697039353,-0.19072815620036443,-0.19069985683427637,-0.19067183817168432,-0.19064409951475403,-0.1906166401682512,-0.19058945943952715,-0.1905625566385064,-0.19053593107767453,-0.19050958207206492,-0.19048350893924548,-0.19045771099930875,-0.19043218757485547,-0.19040693799098618,-0.1903819615752867,-0.19035725765781636,-0.19033282557109588,-0.1903086646500965,-0.19028477423222467,-0.1902611536573151,-0.19023780226761478,-0.19021471940777257,-0.19019190442482814,-0.19016935666820034,-0.19014707548967424,-0.19012506024339143,-0.19010331028583727,-0.19008182497583015,-0.19006060367451083,-0.1900396457453296,-0.19001895055403673,-0.18999851746867102,-0.18997834585954815,-0.1899584350992503,-0.1899387845626157,-0.18991939362672627,-0.1899002616708989,-0.1898813880766741,-0.18986277222780368,-0.18984441351024262,-0.18982631131213812,-0.18980846502381737,-0.18979087403777956,-0.18977353774868388,-0.18975645555334053,-0.18973962685069956,-0.18972305104184095,-0.1897067275299652,-0.1896906557203829,-0.1896748350205038,-0.18965926483982953,-0.18964394458994122,-0.18962887368449022,-0.18961405153918975,-0.1895994775718044,-0.1895851512021396,-0.18957107185203337,-0.18955723894534748,-0.1895436519079552,-0.18953031016773497,-0.1895172131545601,-0.1895043603002876,-0.18949175103875227,-0.18947938480575577,-0.18946726103905653,-0.18945537917836297,-0.18944373866532238,-0.18943233894351386,-0.18942117945843823,-0.18941025965750913,-0.18939957899004495,-0.18938913690725956,-0.1893789328622537,-0.18936896631000666,-0.18935923670736732,-0.18934974351304534,-0.18934048618760402,-0.18933146419344998,-0.1893226769948259,-0.18931412405780212,-0.18930580485026816,-0.18929771884192437,-0.18928986550427374,-0.18928224431061402,-0.1892748547360289,-0.1892676962573815,-0.18926076835330413,-0.1892540705041919,-0.18924760219219494,-0.18924136290120885,-0.18923535211686904,-0.18922956932654067,-0.18922401401931288,-0.1892186856859901,-0.1892135838190842,-0.18920870791280753,-0.18920405746306457,-0.18919963196744555,-0.18919543092521718,-0.18919145383731706,-0.18446256375727155,-0.17743660060393274,-0.16843886472025493,-0.15775329490044565,-0.14354456547188832,-0.1250054118146715,-0.10507033979518332,-0.08376900873290083,-0.061129729915699205,-0.03718075448690428,-0.01195016287616979
mp-1217047,TiAlCu2,-0.196298953333332,4.0,-0.18583006890079556,-0.17633003236569894,-0.17176871021485376,-0.16903623747658983,-0.1666599873491758,-0.1638566324755505,-0.16380680835095762,-0.16375726633337706,-0.16370800571973754,-0.1636590258095938,-0.1636103259051121,-0.16356190531105785,-0.16351376333478218,-0.16346589928621003,-0.16341831247782673,-0.16337100222466544,-0.1633239678442946,-0.16327720865680617,-0.16323072398480143,-0.16318451315338073,-0.16313857549012978,-0.16309291032510798,-0.16304751699083608,-0.163002394822285,-0.16295754315686178,-0.1629129613344008,-0.1628686486971488,-0.16282460458975517,-0.16278082835925928,-0.16273731935507985,-0.1626940769290024,-0.16265110043516812,-0.16260838923006232,-0.1625659426725038,-0.1625237601236328,-0.16248184094690016,-0.1624401845080558,-0.16239879017513847,-0.1623576573184642,-0.1623167853106149,-0.1622761735264287,-0.16223582134298786,-0.16219572813960903,-0.16215589329783253,-0.1621163162014107,-0.16207699623629823,-0.16203793279064205,-0.1619991252547699,-0.1619605730211806,-0.16192227548453342,-0.1618842320416386,-0.16184644209144616,-0.16180890503503587,-0.1617716202756087,-0.16173458721847478,-0.16169780527104427,-0.16166127384281848,-0.16162499234537858,-0.16158896019237623,-0.1615531767995243,-0.16151764158458726,-0.16148235396737104,-0.1614473133697134,-0.16141251921547584,-0.16137797093053208,-0.1613436679427605,-0.16130960968203395,-0.1612757955802102,-0.1612422250711234,-0.16120889759057527,-0.16117581257632457,-0.16114296946807938,-0.16111036770748732,-0.1610780067381274,-0.16104588600550013,-0.16101400495701967,-0.16098236304200397,-0.16095095971166695,-0.1609197944191097,-0.16088886661931123,-0.1608581757691202,-0.16082772132724676,-0.16079750275425397,-0.16076751951254842,-0.16073777106637288,-0.16070825688179768,-0.16067897642671203,-0.16064992917081683,-0.16062111458561457,-0.1605925321444034,-0.1605641813222668,-0.16053606159606776,-0.16050817244443905,-0.16048051334777536,-0.16045308378822676,-0.16042588324968926,-0.16039891121779798,-0.16037216717991798,-0.16034565062513872,-0.16031936104426453,-0.160293297929807,-0.16026746077597886,-0.16024184907868455,-0.16021646233551384,-0.16019130004573406,-0.1601663617102823,-0.1533245048789213,-0.14415940510330283,-0.13324303319329267,-0.12030146920858031,-0.1038110939594219,-0.0829586833503404,-0.06067459752559057,-0.03698357275961661,-0.011909774618160673,0.014522432369951543,0.04346520304479595
