,material_id,formula_pretty,formation_energy,third_element
0,cw-2,Al8Cu4Ag,-0.0769851098219372,Ag
1,cw-3,Al8Cu4Au,-0.0764238334757837,Au
2,cw-4,Al8Cu4Ba,-0.1881409827065525,Ba
3,cw-5,Al8Cu4Be,0.0327166019088317,Be
4,cw-6,Al8Cu4Bi,-0.0350306119373218,Bi
5,cw-7,Al8Cu4Ca,-0.2582998080911682,Ca
6,cw-8,Al8Cu4Cd,-0.0729316634757833,Cd
7,cw-9,Al8Cu4Ce,-0.3066115590527065,Ce
8,cw-10,Al8Cu4Co,-0.027831476360399,Co
9,cw-11,Al8Cu4Cr,-0.0642855015527065,Cr
10,cw-12,Al8Cu4Dy,-0.3072702223219371,Dy
11,cw-13,Al8Cu4Er,-0.2996275556125358,Er
12,cw-14,Al8Cu4Eu,-0.2933178928988603,Eu
13,cw-15,Al8Cu4Fe,-0.0274565427065526,Fe
14,cw-16,Al8Cu4Ga,-0.1001323659757834,Ga
15,cw-18,Al8Cu4Ge,-0.061767147033476,Ge
16,cw-19,Al8Cu4Hf,-0.2164038200142451,Hf
17,cw-21,Al8Cu4Ho,-0.3035871423219372,Ho
18,cw-22,Al8Cu4In,-0.0822666861680911,In
19,cw-23,Al8Cu4Ir,-0.0561540930911683,Ir
20,cw-24,Al8Cu4K,-0.1073676640046295,K
21,cw-25,Al8Cu4La,-0.3089553002065529,La
22,cw-26,Al8Cu4Li,-0.1786493873219371,Li
23,cw-27,Al8Cu4Lu,-0.2863732174501425,Lu
24,cw-28,Al8Cu4Mg,-0.1388162727065529,Mg
25,cw-29,Al8Cu4Mn,-0.1548955333962078,Mn
26,cw-30,Al8Cu4Mo,-0.0624936603988602,Mo
27,cw-31,Al8Cu4Na,-0.1556173315527065,Na
28,cw-32,Al8Cu4Nb,-0.1470003461680912,Nb
29,cw-33,Al8Cu4Nd,-0.3103307546296294,Nd
30,cw-34,Al8Cu4Ni,-0.0471599759757835,Ni
31,cw-36,Al8Cu4Os,0.0107373088319086,Os
32,cw-37,Al8Cu4Pb,-0.0644889657834759,Pb
33,cw-38,Al8Cu4Pd,-0.132139076937322,Pd
34,cw-40,Al8Cu4Pr,-0.3068257473219373,Pr
35,cw-41,Al8Cu4Pt,-0.1064989969373218,Pt
36,cw-43,Al8Cu4Rb,-0.0529123423700145,Rb
37,cw-44,Al8Cu4Re,0.0159293538319085,Re
38,cw-45,Al8Cu4Rh,-0.1139235096296296,Rh
39,cw-46,Al8Cu4Ru,-0.0592651465527065,Ru
40,cw-47,Al8Cu4Sb,-0.0401935484757837,Sb
41,cw-48,Al8Cu4Sc,-0.2731309653988605,Sc
42,cw-49,Al8Cu4Sm,-0.3118708882834756,Sm
43,cw-50,Al8Cu4Sn,-0.0778942293411683,Sn
44,cw-51,Al8Cu4Sr,-0.2342427565527063,Sr
45,cw-52,Al8Cu4Ta,-0.1040231141680909,Ta
46,cw-53,Al8Cu4Tb,-0.3103939934757836,Tb
47,cw-54,Al8Cu4Tc,-0.050525235014245,Tc
48,cw-55,Al8Cu4Te,-0.0121799273219374,Te
49,cw-57,Al8Cu4Ti,-0.1824258398860397,Ti
50,cw-58,Al8Cu4Tl,-0.0632429338603987,Tl
51,cw-59,Al8Cu4Tm,-0.2953560419373219,Tm
52,cw-60,Al8Cu4V,-0.0921509869373219,V
53,cw-61,Al8Cu4W,0.0012315642165241,W
54,cw-62,Al8Cu4Y,-0.3087858130911682,Y
56,cw-64,Al8Cu4Zn,-0.0713776196296299,Zn
57,cw-65,Al8Cu4Zr,-0.2554186084757834,Zr
58,mp-8017,AlCuTe2,-0.5504997270833331,Te
59,mp-1215314,ZrAlCu2,-0.207787367499999,Zr
60,mp-1217047,TiAlCu2,-0.196298953333332,Ti
61,mp-1217689,Tb2AlCu,-0.305269285,Tb
62,mp-1219346,ScAlCu2,-0.243945898749998,Sc
63,mp-1225076,Er2AlCu,-0.3259276325,Er
64,mp-1228938,AlCuNi6,-0.188906696249999,Ni
65,mp-1228912,AlCuPd2,-0.602823895,Pd
66,mp-12550,AlCuPt2,-0.697639895,Pt
67,mp-16496,Al(CuRe)2,0.380727542999999,Re
68,mp-1221881,Mn2AlCu3,0.03745522735632,Mn
69,mp-1222119,MgAlCu,-0.099228317777778,Mg
70,mp-1028244,Mg14AlCu,0.0185635225,Mg
71,mp-1216610,TmAlCu4,-0.248676391111111,Tm
72,mp-1217579,TbAlCu4,-0.248716513333333,Tb
73,mp-1219115,SmAlCu4,-0.2359507175,Sm
74,mp-1219691,PrAlCu4,-0.215528649166666,Pr
75,mp-1220197,NdAlCu4,-0.222214054583333,Nd
76,mp-1222921,LaAlCu4,-0.213989134166666,La
77,mp-1223972,HoAlCu4,-0.250995455,Ho
78,mp-1225584,ErAlCu4,-0.251428393333333,Er
79,mp-1225316,DyAlCu4,-0.249434761666666,Dy
80,mp-1226709,CeAlCu4,0.0829965325,Ce
81,mp-1078489,HoAlCu,-0.457323056666667,Ho
82,mp-1078592,ErAlCu,-0.463179307777777,Er
83,mp-1078692,PrAlCu,-0.361359958333333,Pr
84,mp-1078857,DyAlCu,-0.452915204444443,Dy
85,mp-1079357,TbAlCu,-0.446479814444444,Tb
86,mp-1079361,YAlCu,-0.457115257777777,Y
87,mp-1079868,CeAlCu,-0.323499095,Ce
88,mp-1080560,NdAlCu,-0.380198280277778,Nd
89,mp-1206090,YAlCu,0.119954193333333,Y
90,mp-1206815,PrAlCu,0.294612237222222,Pr
91,mp-979972,SmAlCu,-0.409722936111111,Sm
92,mp-865402,TmAlCu,-0.468521444444443,Tm
93,mp-1227275,Be4AlCu,-0.069325958333333,Be
94,mp-999079,Ti2AlCu,-0.056973969166667,Ti
95,mp-1066394,AlCuTe2,0.080519184166667,Te
96,mp-10887,HfAlCu2,-0.32856484,Hf
97,mp-1183151,AlZnCu2,-0.1542242525,Zn
98,mp-1183191,AlCuRh2,-0.5337715675,Rh
99,mp-1185509,LuAlCu2,-0.373984017499999,Lu
100,mp-16494,AlCrCu2,-9.58149999998881e-05,Cr
101,mp-16497,ScAlCu2,-0.412948688749999,Sc
102,mp-3574,MnAlCu2,-0.130849419482758,Mn
103,mp-3736,ZrAlCu2,-0.352965232499999,Zr
104,mp-4771,TiAlCu2,-0.305028373333333,Ti
105,mp-866296,AlCuPd2,-0.6230447400000001,Pd
106,mp-867272,LiAlCu2,-0.221278555833333,Li
107,mp-867306,AlCuAu2,-0.257723519999999,Au
108,mp-971985,TbAlCu2,-0.346615144999999,Tb
109,mp-972884,Sc2AlCu,-0.342765357499999,Sc
110,mp-1023484,Mg6AlCu,0.035828059375,Mg
111,mp-1023482,Mg6AlCu,0.035475043124999,Mg
112,mp-1028253,Mg14AlCu,0.015751215,Mg
113,mp-1217214,TiAlCu,-0.295323190277778,Ti
114,mp-1218074,TaAlCu,-0.223152584166667,Ta
115,mp-1218096,TaAlCu,-0.238064154166667,Ta
116,mp-1219356,ScAlCu,-0.413419398333332,Sc
117,mp-1220484,NbAlCu,-0.276355301666666,Nb
118,mp-1224481,HfAlCu,-0.332944006666667,Hf
119,mp-1222898,LaAlCu4,-0.280191650833333,La
120,mp-1226887,CeAlCu4,-0.248569115833333,Ce
121,mp-2647066,Zr2AlCu2,-0.29537122,Zr
122,mp-1095936,AlZnCu2,1.4313631324999991,Zn
123,mp-1096066,AlCuNi2,2.1741249875,Ni
124,mp-1096697,YAlCu2,2.013399400833334,Y
125,mp-1097150,AlCuRh2,2.4096864275,Rh
126,mp-1097203,Y2AlCu,2.380193941666667,Y
127,mp-1215318,ZrAlCu,-0.402913398333333,Zr
128,mp-1216551,TmAlCu,-0.395891338888888,Tm
129,mp-1217569,TbAlCu,-0.380211758333332,Tb
130,mp-1219108,SmAlCu,-0.350126368333333,Sm
131,mp-1225285,DyAlCu,-0.384949783333333,Dy
132,mp-1222329,LuAlCu,-0.397637648333333,Lu
133,mp-1221904,Mn2Al2Cu,-0.019522639172414,Mn
134,mp-1222208,Mg3(AlCu2)2,-0.217659052777777,Mg
135,mp-1221660,MnAl2Cu,-0.245842631982758,Mn
136,mp-1214869,Al2CuMo,-0.113702737499999,Mo
137,mp-973410,NdAl2Cu9,-0.196185781874999,Nd
138,mp-1206184,CeAl2Cu3,-0.2643871825,Ce
139,mp-1215019,Ca10Al2Cu19,-0.148904822473117,Ca
140,mp-1222214,Mg3(AlCu2)2,-0.213830375555555,Mg
141,mp-1183165,Al2CuPd,-0.5458936549999991,Pd
142,mp-1185307,LiAl2Cu,-0.186585685833333,Li
143,mp-3034,MgAl2Cu,-0.1824074,Mg
144,mp-1225549,LaAl2Cu3,-0.3848799575,La
145,mp-1226644,CeAl2Cu3,-0.364768135833333,Ce
146,mp-1079890,Al2CuIr,-0.6723480524999991,Ir
147,mp-1093789,Al2CuIr,1.97704049,Ir
148,mp-1093918,Al2CuPd,1.4517188575,Pd
149,mp-1093967,Al2CuRh,1.80231313,Rh
150,mp-1095860,Al2CuNi,1.7666505924999991,Ni
151,mp-1096521,Al2FeCu,2.058957525,Fe
152,mp-1096576,Al2CuTc,2.29427045875,Tc
153,mp-1251595,Al2CuPd,1.4504691875,Pd
154,mp-1228962,Al2Cu2Ni,-0.257308728999999,Ni
155,mp-1223301,La2Al3Cu7,-0.332890814166666,La
156,mp-1069375,NdAl3Cu,-0.471702887499999,Nd
157,mp-1069443,CeAl3Cu,-0.419651346999999,Ce
158,mp-1069825,PrAl3Cu,-0.471115847,Pr
159,mp-1070573,LaAl3Cu,-0.479689450999999,La
160,mp-1219105,SmAl3Cu,-0.465616024999999,Sm
161,mp-1224113,HoAl3Cu,-0.426971256,Ho
162,mp-1226654,CeAl3Cu,-0.337979112999999,Ce
163,mp-1228359,Ba5Al3Cu2,0.109208046999999,Ba
164,mp-1223820,Hf2Al3Cu,-0.444173343333333,Hf
165,mp-1225288,Dy2Al3Cu,-0.466199059999999,Dy
166,mp-1225048,Er2Al3Cu,-0.461161615,Er
167,mp-1025136,EuAl3Cu2,-0.375982673333333,Eu
168,mp-1208292,TbAl3Cu2,-0.433619539999999,Tb
169,mp-1211199,Li4(AlCu2)3,-0.195455340256409,Li
170,mp-1228126,Al5CuW2,-0.1447203375,W
171,mp-1228135,Al5CuMo2,-0.2757565375,Mo
172,mp-30178,Mg2Al5Cu6,-0.239672935384615,Mg
173,mp-1215338,ZrAl5Cu7,-0.291508606923076,Zr
174,mp-1219946,Pr2(AlCu)5,-0.335084583333333,Pr
175,mp-1228194,Al6CoCu3,-0.3016765265,Co
176,mp-1216210,Y(AlCu)6,-0.361441492051282,Y
177,mp-1216745,Tm(AlCu)6,-0.352041025128205,Tm
178,mp-1217839,Tb(AlCu)6,-0.359401642307692,Tb
179,mp-1222454,Lu(AlCu)6,-0.346517103076923,Lu
180,mp-1224046,Ho(AlCu)6,-0.349919726923076,Ho
181,mp-1225071,Er(AlCu)6,-0.347081413846154,Er
182,mp-1225665,Dy(AlCu)6,-0.352117671538461,Dy
183,mp-1214866,Al7Cu2Ru,-0.343190891749999,Ru
184,mp-1214887,Al7Cu2Rh,-0.3799960585,Rh
185,mp-17856,Al7CoCu2,-0.2782989985,Co
186,mp-4689,Al7FeCu2,-0.259595781,Fe
187,mp-10876,Ca3Al7Cu2,-0.330634350833333,Ca
188,mp-865990,Y3Al7Cu2,-0.5040530291666661,Y
189,mp-1193200,Zr6Al7Cu16,-0.353385487931034,Zr
190,mp-1193845,Ho6Al7Cu16,-0.373796742413792,Ho
191,mp-1193693,Er6Al7Cu16,-0.377079615517241,Er
192,mp-1194170,Dy6Al7Cu16,-0.368538632068966,Dy
193,mp-980195,Tm6Al7Cu16,-0.380281170344827,Tm
194,mp-1216017,YAl7Cu5,-0.344888082820512,Y
195,mp-1219937,Pr2Al7Cu,-0.393000512,Pr
196,mp-1223239,La2Al7Cu,-0.424427714,La
197,mp-1223260,La(Al5Cu)2,-0.201655462692307,La
198,mp-17017,Al12Co4Cu,-0.414710260392156,Co
199,mp-1185659,Mg16Al12Cu,-0.016372668620689,Mg
200,mp-1200279,Mg11(Al2Cu)6,-0.135666937241379,Mg
201,mp-1211217,Li6Al13Cu8,-0.200413861111111,Li
202,mp-1219899,Pr3(Al7Cu2)4,-0.217387396025641,Pr
203,mp-1211191,Mn6Al31Cu2,-0.164290564168876,Mn
204,mp-1228719,Al37(Fe6Cu)2,-0.325392666470587,Fe
205,mp-31403,Al39Fe7Cu24,-0.032104059999999,Fe
206,mp-1399,AlAu,-0.395538054999999,Au
207,mp-570987,Ce3Al,-0.163144223749999,Ce
208,mp-1228806,AlSb,-0.01691645,Sb
209,mp-1228956,AlAu4,-0.139186079999999,Au
210,mp-1228854,AlNi,-0.412180965,Ni
211,mp-2500,AlCu,-0.213427948,no_return
212,mp-1039141,MgAl,-0.000756169999999,Mg
213,mp-1953,TiAl,-0.406944531666667,Ti
214,mp-1228868,AlNi,-0.63205995,Ni
215,mp-771,MnAl,-0.272285743965517,Mn
216,mp-1079182,AlPt3,-0.6789906837499999,Pt
217,mp-1182870,AlPt3,-0.5083108818749991,Pt
218,mp-607111,AlPt3,-0.6925157781250001,Pt
219,mp-1228815,AlRe,-0.315779895,Re
220,mp-1193531,Ta2Al,-0.247719525333333,Ta
221,mp-18427,Nb2Al,-0.293137022,Nb
222,mp-639874,Ta2Al,-0.075956453000001,Ta
223,mp-1018179,AlAu2,-0.310165483333333,Au
224,mp-1018166,AlTc2,-0.414411723333334,Tc
225,mp-10909,AlRe2,-0.26289866,Re
226,mp-1094961,Mg3Al,0.016879582499999,Mg
227,mp-1183208,AlGa3,0.045143301875,Ga
228,mp-1183203,AlGe3,0.2509858387499999,Ge
229,mp-1183215,AlCd3,0.115321272499999,Cd
230,mp-1183278,AlPb3,0.156096375,Pb
231,mp-1184882,K3Al,0.307602825249999,K
232,mp-1699,AlCr2,-0.122767133333333,Cr
233,mp-975056,Rb3Al,0.359604484374999,Rb
234,mp-975868,Li3Al,-0.079682195,Li
235,mp-1080448,AlPt3,-0.6901009325,Pt
236,mp-12772,Hf2Al,-0.264554201666666,Hf
237,mp-12773,Zr2Al,-0.317844235,Zr
238,mp-1228988,AlAg3,-0.076234516999999,Ag
239,mp-669546,AlPd,-0.904822471153846,Pd
240,mp-1102672,Sr2Al,-0.008390130277777,Sr
241,mp-1025044,AlNi2,-0.50137597,Ni
242,mp-1038779,MgAl,0.05004994,Mg
243,mp-1228933,AlCo4,-0.029470304,Co
244,mp-1228947,AlAg4,0.012589764666666,Ag
245,mp-1018100,AlSb,-0.247203982499999,Sb
246,mp-1016271,Mg7Al,0.014808826249999,Mg
247,mp-1023506,Mg15Al,0.0114546687499999,Mg
248,mp-1039019,MgAl,0.038488384999999,Mg
249,mp-1185596,Mg149Al,-0.027234511333333,Mg
250,mp-1217072,Ti3Al,-0.125611385,Ti
251,mp-1217008,TiAl,-0.251485221666667,Ti
252,mp-1228901,AlAg,-0.039707393333332,Ag
253,mp-7760,AlSn,0.2070903175,Sn
254,mp-985578,AlFe,0.46102108,Fe
255,mp-985579,AlFe2,-0.141337556666666,Fe
256,mp-1079266,Pr3Al,-0.169245346249999,Pr
257,mp-1079240,LiAl,-0.091017606666666,Li
258,mp-1080098,Nd3Al,-0.175370411874999,Nd
