element,structure,formation_energy_per_atom
Ag,Al8Cu4Ag,-0.0769851098219372
Au,Al8Cu4Au,-0.0764238334757837
Ba,Al8Cu4Ba,-0.1881409827065525
Be,Al8Cu4Be,0.0327166019088317
Bi,Al8Cu4Bi,-0.0350306119373218
Ca,Al8Cu4Ca,-0.2582998080911682
Cd,Al8Cu4Cd,-0.0729316634757833
Ce,Al8Cu4Ce,-0.3066115590527065
Co,Al8Cu4Co,-0.027831476360399
Cr,Al8Cu4Cr,-0.0642855015527065
Dy,Al8Cu4Dy,-0.3072702223219371
Er,Al8Cu4Er,-0.2996275556125358
Eu,Al8Cu4Eu,-0.2933178928988603
Fe,Al8Cu4Fe,-0.0274565427065526
Ga,Al8Cu4Ga,-0.1001323659757834
Ge,Al8Cu4Ge,-0.061767147033476
Hf,Al8Cu4Hf,-0.2164038200142451
Ho,Al8Cu4Ho,-0.3035871423219372
In,Al8Cu4In,-0.0822666861680911
Ir,Al8Cu4Ir,-0.0561540930911683
K,Al8Cu4K,-0.1073676640046295
La,Al8Cu4La,-0.3089553002065529
Li,Al8Cu4Li,-0.1786493873219371
Lu,Al8Cu4Lu,-0.2863732174501425
Mg,Al8Cu4Mg,-0.1388162727065529
Mn,Al8Cu4Mn,-0.1548955333962078
Mo,Al8Cu4Mo,-0.0624936603988602
Na,Al8Cu4Na,-0.1556173315527065
Nb,Al8Cu4Nb,-0.1470003461680912
Nd,Al8Cu4Nd,-0.3103307546296294
Ni,Al8Cu4Ni,-0.0471599759757835
Os,Al8Cu4Os,0.0107373088319086
Pb,Al8Cu4Pb,-0.0644889657834759
Pd,Al8Cu4Pd,-0.132139076937322
Pr,Al8Cu4Pr,-0.3068257473219373
Pt,Al8Cu4Pt,-0.1064989969373218
Rb,Al8Cu4Rb,-0.0529123423700145
Re,Al8Cu4Re,0.0159293538319085
Rh,Al8Cu4Rh,-0.1139235096296296
Ru,Al8Cu4Ru,-0.0592651465527065
Sb,Al8Cu4Sb,-0.0401935484757837
Sc,Al8Cu4Sc,-0.2731309653988605
Sm,Al8Cu4Sm,-0.3118708882834756
Sn,Al8Cu4Sn,-0.0778942293411683
Sr,Al8Cu4Sr,-0.2342427565527063
Ta,Al8Cu4Ta,-0.1040231141680909
Tb,Al8Cu4Tb,-0.3103939934757836
Tc,Al8Cu4Tc,-0.050525235014245
Te,Al8Cu4Te,-0.0121799273219374
Ti,Al8Cu4Ti,-0.1824258398860397
Tl,Al8Cu4Tl,-0.0632429338603987
Tm,Al8Cu4Tm,-0.2953560419373219
V,Al8Cu4V,-0.0921509869373219
W,Al8Cu4W,0.0012315642165241
Y,Al8Cu4Y,-0.3087858130911682
Zn,Al8Cu4Zn,-0.0713776196296299
Zr,Al8Cu4Zr,-0.2554186084757834
